,Source,Expected,Predicted
0,Mais c’est un embarras bien facile à tourner et auquel j’ai songé : le comte serait mis à la citadelle pour le reste de ses jours.,"But there is a very easy way out of that difficulty, and I have thought of it: the Conte would be put in the citadel for the rest of his days.""","But it is a easy to make a clear impression to me , and to which I thought I have thought : the Conte would be put to the citadel for the rest of his days ."
1,Horscroft took a run forward and caught her by the wrist.,"Horscroft fit quelques pas en courant, et la saisit par le poignet.","Horscroft prit un coup , l ' attira sur lui , et la prit par le poignet ."
2,Mme. Roland did the honours eagerly to their visitor.,Mme Roland s'empressa près du nouveau venu:,Mme Roland fit les honneurs à leur voyageur .
3,"I am going to fight--because I am going to fight,"" answered Porthos, reddening.","Athos, qui ne perdait rien, vit passer un fin sourire sur les lèvres du Gascon.","-- Je vais me battre , car je me bats , répondit Porthos avec un air de reproche ."
4,The man rang a bell.,L’homme sonna.,L ’ homme sonna .
5,"And they walked off together, Passepartout chatting volubly as they went along.",Et tous deux se mirent en route. Passepartout causait toujours.,"Et l ' on marcha à l ' écart , ce qui en restait beaucoup plus souvent , Passepartout , en causant ."
6,"He was on one side of her mother. She knew how little such a situation would give pleasure to either, or make either appear to advantage.","Trop éloignée pour suivre leur conversation, elle remarquait qu’ils se parlaient rarement et toujours avec une froide politesse.","Elle savait combien il était heureux de l ' une ou de l ' autre , ou de s ' entendre , plus de plaisir que de l ' amuser ."
7,I felt in a perpetual state of alarm.,J'éprouvais des alertes incessantes.,Je sentais dans un état de peur .
8,"By tomorrow, who knows if this ship won't be 100 leagues out to sea?",Qui sait si demain nous ne serons pas à cent lieues au large ?,"À demain , qui sait si ce navire ne sera pas à cent lieues à mer ?"
9,"Nothing was to be seen; but they remained there all the same, and had to be kept at a distance.","On ne voyait rien, et l'on demeurait la quand meme, il fallut tenir les curieux a distance.","On ne voyait rien , mais on y restait toujours , et il fallait se tenir bien loin ."
10,"""Mr. Darcy!"" repeated Elizabeth, in utter amazement.",– Mr. Darcy !… répéta Elizabeth abasourdie.,"– Mr . Darcy , répliqua Elizabeth avec une extreme surprise ."
11,"""No,"" said she, ""you will avenge me; but you will not be dead.","-- Non! dit-elle, vous me vengerez; mais vous ne mourrez pas.","-- Non , dit - elle , vous me ; mais vous ne serez pas morte ."
12,For a moment the schoolmaster's pale head was also seen behind the school-house hedge.,"On vit un instant la tete pâle de l'instituteur qui se haussait, lui aussi, derriere la haie de l'école.","On vit aussi la tête pâle du professeur , derrière la haie de l ’ école , une haie de ."
